# 60.0,40.0,5.0,lengthwise,50.0,2.0
x,y,type
53.0,12.0,0
54.0,12.0,0
55.0,12.0,0
56.0,12.0,0
57.0,12.0,0
58.0,12.0,0
59.0,12.0,0
60.0,12.0,0
60.0,12.0,1
60.222,12.011,1
60.442,12.043,1
60.661,12.096,1
60.877,12.17,1
61.089,12.265,1
61.296,12.381,1
61.498,12.516,1
61.693,12.67,1
61.882,12.843,1
62.062,13.033,1
62.233,13.241,1
62.395,13.464,1
62.546,13.703,1
62.687,13.956,1
62.816,14.222,1
62.933,14.5,1
63.037,14.789,1
63.129,15.087,1
63.207,15.393,1
63.271,15.706,1
63.322,16.025,1
63.358,16.347,1
63.38,16.673,1
63.387,17.0,1
63.387,17.0,1
63.387,17.526,1
63.387,18.053,1
63.387,18.579,1
63.387,19.105,1
63.387,19.632,1
63.387,20.158,1
63.387,20.684,1
63.387,21.211,1
63.387,21.737,1
63.387,22.263,1
63.387,22.789,1
63.387,23.316,1
63.387,23.842,1
63.387,24.368,1
63.387,24.895,1
63.387,25.421,1
63.387,25.947,1
63.387,26.474,1
63.387,27.0,1
63.387,27.0,1
63.38,27.327,1
63.358,27.653,1
63.322,27.975,1
63.271,28.294,1
63.207,28.607,1
63.129,28.913,1
63.037,29.211,1
62.933,29.5,1
62.816,29.778,1
62.687,30.044,1
62.546,30.297,1
62.395,30.536,1
62.233,30.759,1
62.062,30.967,1
61.882,31.157,1
61.693,31.33,1
61.498,31.484,1
61.296,31.619,1
61.089,31.735,1
60.877,31.83,1
60.661,31.904,1
60.442,31.957,1
60.222,31.989,1
60.0,32.0,1
60.0,32.0,0
59.0,32.0,0
58.0,32.0,0
57.0,32.0,0
56.0,32.0,0
55.0,32.0,0
54.0,32.0,0
53.0,32.0,0
52.0,32.0,0
51.0,32.0,0
50.0,32.0,0
49.0,32.0,0
48.0,32.0,0
47.0,32.0,0
46.0,32.0,0
45.0,32.0,0
44.0,32.0,0
43.0,32.0,0
42.0,32.0,0
41.0,32.0,0
40.0,32.0,0
39.0,32.0,0
38.0,32.0,0
37.0,32.0,0
36.0,32.0,0
35.0,32.0,0
34.0,32.0,0
33.0,32.0,0
32.0,32.0,0
31.0,32.0,0
30.0,32.0,0
29.0,32.0,0
28.0,32.0,0
27.0,32.0,0
26.0,32.0,0
25.0,32.0,0
24.0,32.0,0
23.0,32.0,0
22.0,32.0,0
21.0,32.0,0
20.0,32.0,0
19.0,32.0,0
18.0,32.0,0
17.0,32.0,0
16.0,32.0,0
15.0,32.0,0
14.0,32.0,0
13.0,32.0,0
12.0,32.0,0
11.0,32.0,0
10.0,32.0,0
9.0,32.0,0
8.0,32.0,0
7.0,32.0,0
6.0,32.0,0
5.0,32.0,0
4.0,32.0,0
3.0,32.0,0
2.0,32.0,0
1.0,32.0,0
0.0,32.0,0
0.0,32.0,1
-0.207,31.992,1
-0.413,31.968,1
-0.617,31.928,1
-0.819,31.872,1
-1.017,31.801,1
-1.211,31.715,1
-1.4,31.613,1
-1.583,31.498,1
-1.758,31.368,1
-1.927,31.225,1
-2.087,31.069,1
-2.238,30.902,1
-2.38,30.723,1
-2.511,30.533,1
-2.632,30.333,1
-2.741,30.125,1
-2.839,29.909,1
-2.924,29.685,1
-2.997,29.455,1
-3.057,29.221,1
-3.104,28.982,1
-3.138,28.739,1
-3.158,28.495,1
-3.165,28.25,1
-3.165,28.25,1
-3.165,27.855,1
-3.165,27.461,1
-3.165,27.066,1
-3.165,26.671,1
-3.165,26.276,1
-3.165,25.882,1
-3.165,25.487,1
-3.165,25.092,1
-3.165,24.697,1
-3.165,24.303,1
-3.165,23.908,1
-3.165,23.513,1
-3.165,23.118,1
-3.165,22.724,1
-3.165,22.329,1
-3.165,21.934,1
-3.165,21.539,1
-3.165,21.145,1
-3.165,20.75,1
-3.165,20.75,1
-3.158,20.505,1
-3.138,20.261,1
-3.104,20.018,1
-3.057,19.779,1
-2.997,19.545,1
-2.924,19.315,1
-2.839,19.091,1
-2.741,18.875,1
-2.632,18.667,1
-2.511,18.467,1
-2.38,18.277,1
-2.238,18.098,1
-2.087,17.931,1
-1.927,17.775,1
-1.758,17.632,1
-1.583,17.502,1
-1.4,17.387,1
-1.211,17.285,1
-1.017,17.199,1
-0.819,17.128,1
-0.617,17.072,1
-0.413,17.032,1
-0.207,17.008,1
0.0,17.0,1
0.0,17.0,0
1.0,17.0,0
2.0,17.0,0
3.0,17.0,0
4.0,17.0,0
5.0,17.0,0
6.0,17.0,0
7.0,17.0,0
8.0,17.0,0
9.0,17.0,0
10.0,17.0,0
11.0,17.0,0
12.0,17.0,0
13.0,17.0,0
14.0,17.0,0
15.0,17.0,0
16.0,17.0,0
17.0,17.0,0
18.0,17.0,0
19.0,17.0,0
20.0,17.0,0
21.0,17.0,0
22.0,17.0,0
23.0,17.0,0
24.0,17.0,0
25.0,17.0,0
26.0,17.0,0
27.0,17.0,0
28.0,17.0,0
29.0,17.0,0
30.0,17.0,0
31.0,17.0,0
32.0,17.0,0
33.0,17.0,0
34.0,17.0,0
35.0,17.0,0
36.0,17.0,0
37.0,17.0,0
38.0,17.0,0
39.0,17.0,0
40.0,17.0,0
41.0,17.0,0
42.0,17.0,0
43.0,17.0,0
44.0,17.0,0
45.0,17.0,0
46.0,17.0,0
47.0,17.0,0
48.0,17.0,0
49.0,17.0,0
50.0,17.0,0
51.0,17.0,0
52.0,17.0,0
53.0,17.0,0
54.0,17.0,0
55.0,17.0,0
56.0,17.0,0
57.0,17.0,0
58.0,17.0,0
59.0,17.0,0
60.0,17.0,0
60.0,17.0,1
60.189,17.011,1
60.377,17.043,1
60.563,17.096,1
60.747,17.17,1
60.928,17.265,1
61.105,17.381,1
61.277,17.516,1
61.443,17.67,1
61.604,17.843,1
61.757,18.033,1
61.903,18.241,1
62.041,18.464,1
62.17,18.703,1
62.29,18.956,1
62.4,19.222,1
62.5,19.5,1
62.589,19.789,1
62.667,20.087,1
62.734,20.393,1
62.788,20.706,1
62.831,21.025,1
62.862,21.347,1
62.881,21.673,1
62.887,22.0,1
62.887,22.0,1
62.887,22.526,1
62.887,23.053,1
62.887,23.579,1
62.887,24.105,1
62.887,24.632,1
62.887,25.158,1
62.887,25.684,1
62.887,26.211,1
62.887,26.737,1
62.887,27.263,1
62.887,27.789,1
62.887,28.316,1
62.887,28.842,1
62.887,29.368,1
62.887,29.895,1
62.887,30.421,1
62.887,30.947,1
62.887,31.474,1
62.887,32.0,1
62.887,32.0,1
62.881,32.327,1
62.862,32.653,1
62.831,32.975,1
62.788,33.294,1
62.734,33.607,1
62.667,33.913,1
62.589,34.211,1
62.5,34.5,1
62.4,34.778,1
62.29,35.044,1
62.17,35.297,1
62.041,35.536,1
61.903,35.759,1
61.757,35.967,1
61.604,36.157,1
61.443,36.33,1
61.277,36.484,1
61.105,36.619,1
60.928,36.735,1
60.747,36.83,1
60.563,36.904,1
60.377,36.957,1
60.189,36.989,1
60.0,37.0,1
60.0,37.0,0
59.0,37.0,0
58.0,37.0,0
57.0,37.0,0
56.0,37.0,0
55.0,37.0,0
54.0,37.0,0
53.0,37.0,0
52.0,37.0,0
51.0,37.0,0
50.0,37.0,0
49.0,37.0,0
48.0,37.0,0
47.0,37.0,0
46.0,37.0,0
45.0,37.0,0
44.0,37.0,0
43.0,37.0,0
42.0,37.0,0
41.0,37.0,0
40.0,37.0,0
39.0,37.0,0
38.0,37.0,0
37.0,37.0,0
36.0,37.0,0
35.0,37.0,0
34.0,37.0,0
33.0,37.0,0
32.0,37.0,0
31.0,37.0,0
30.0,37.0,0
29.0,37.0,0
28.0,37.0,0
27.0,37.0,0
26.0,37.0,0
25.0,37.0,0
24.0,37.0,0
23.0,37.0,0
22.0,37.0,0
21.0,37.0,0
20.0,37.0,0
19.0,37.0,0
18.0,37.0,0
17.0,37.0,0
16.0,37.0,0
15.0,37.0,0
14.0,37.0,0
13.0,37.0,0
12.0,37.0,0
11.0,37.0,0
10.0,37.0,0
9.0,37.0,0
8.0,37.0,0
7.0,37.0,0
6.0,37.0,0
5.0,37.0,0
4.0,37.0,0
3.0,37.0,0
2.0,37.0,0
1.0,37.0,0
0.0,37.0,0
